model_index,root_id,cell_type,super_class,side,hz_LC4,hz_outside,hz_final_200ms,driven,is_readout
1133,720575940604954289,DNp04,descending,left,298.6,1.4,0.0,False,False
40093,720575940619709972,PVLP024,central,left,290.0,2.9,0.0,False,False
95123,720575940629757036,DNp04,descending,right,258.6,0.0,0.0,False,False
136180,720575940647966260,PVLP024,central,left,252.9,1.4,0.0,False,False
24150,720575940615528678,PVLP024,central,right,241.4,1.4,0.0,False,False
108148,720575940632381536,PVLP024,central,right,235.7,1.4,0.0,False,False
64467,720575940624111763,LC4,visual_projection,left,234.3,0.0,0.0,True,False
89200,720575940628606713,LC4,visual_projection,right,234.3,0.0,0.0,True,False
118928,720575940635835967,LC4,visual_projection,right,231.4,0.0,0.0,True,False
88424,720575940628462340,LC4,visual_projection,left,230.0,0.0,0.0,True,False
23130,720575940615232217,LC4,visual_projection,right,228.6,0.0,0.0,True,False
136520,720575940649229433,LC4,visual_projection,left,228.6,0.0,0.0,True,False
13067,720575940612093351,LC4,visual_projection,right,225.7,0.0,0.0,True,False
124829,720575940638456227,LC4,visual_projection,left,225.7,0.0,0.0,True,False
39826,720575940619654053,DNp02,descending,left,225.7,1.4,0.0,False,False
63536,720575940623957173,PVLP010,central,left,222.9,1.4,0.0,False,False
41678,720575940620054694,DNp11,descending,left,222.9,1.4,0.0,False,False
15883,720575940612968421,LC4,visual_projection,right,222.9,0.0,0.0,True,False
36093,720575940618676440,LC4,visual_projection,left,222.9,0.0,0.0,True,False
9350,720575940610522009,LC4,visual_projection,left,221.4,0.0,0.0,True,False
264,720575940603637438,LC4,visual_projection,right,221.4,0.0,0.0,True,False
37128,720575940618932763,PVLP010,central,right,221.4,1.4,0.0,False,False
29383,720575940617026260,LC4,visual_projection,left,220.0,0.0,0.0,True,False
112907,720575940633580384,LC4,visual_projection,left,220.0,0.0,0.0,True,False
88373,720575940628454522,LC4,visual_projection,left,220.0,0.0,0.0,True,False
121451,720575940636957006,LC4,visual_projection,right,218.6,0.0,0.0,True,False
97190,720575940630154660,LC4,visual_projection,right,215.7,0.0,0.0,True,False
22455,720575940615053580,LC4,visual_projection,left,215.7,0.0,0.0,True,False
22002,720575940614914107,LC4,visual_projection,left,214.3,0.0,0.0,True,False
101707,720575940630998339,LC4,visual_projection,left,214.3,0.0,0.0,True,False
68119,720575940624790781,LC4,visual_projection,right,212.9,0.0,0.0,True,False
28213,720575940616713355,LC4,visual_projection,left,212.9,0.0,0.0,True,False
34603,720575940618312606,LC4,visual_projection,left,212.9,0.0,0.0,True,False
