model_index,root_id,cell_type,super_class,side,hz_sugar,hz_bitter,hz_outside,hz_final_200ms,driven,is_readout
56459,720575940622695448,CB0248,central,right,137.1,137.1,1.0,13.6,False,False
82138,720575940627383685,CB0248,central,left,121.4,120.0,1.0,9.1,False,False
49584,720575940621502051,LB3,sensory,left,117.1,115.7,0.0,0.0,True,False
126873,720575940639332736,LB3,sensory,left,113.6,115.7,0.0,13.6,True,False
110469,720575940632889389,LB3,sensory,left,112.9,105.7,0.0,18.2,True,False
95808,720575940629888530,CB0192,central,left,110.0,108.6,2.0,9.1,False,False
32863,720575940617937543,LB3,sensory,left,108.6,108.6,0.0,4.5,True,False
129730,720575940640649691,LB3,sensory,left,106.4,117.1,0.0,13.6,True,False
12494,720575940611875570,LB3,sensory,left,105.7,105.7,0.0,13.6,True,False
108426,720575940632425919,LB3,sensory,left,104.3,100.0,0.0,9.1,True,False
14842,720575940612670570,LB3,sensory,left,102.1,92.9,0.0,13.6,True,False
111357,720575940633143833,LB3,sensory,left,102.1,105.7,0.0,4.5,True,False
97602,720575940630233916,LB3,sensory,left,101.4,105.7,0.0,9.1,True,False
100605,720575940630797113,LB3,sensory,left,100.7,97.1,0.0,0.0,True,False
28825,720575940616885538,LB3,sensory,left,100.0,98.6,0.0,0.0,True,False
69093,720575940624963786,LB3,sensory,left,98.6,94.3,0.0,4.5,True,False
122795,720575940637568838,LB3,sensory,left,97.9,88.6,0.0,0.0,True,False
124291,720575940638202345,LB3,sensory,left,97.1,100.0,0.0,9.1,True,False
126600,720575940639198653,LB3,sensory,left,95.7,100.0,0.0,4.5,True,False
33909,720575940618165019,CB0700,motor,left,92.9,24.3,10.0,0.0,False,False
51107,720575940621754367,LB3,sensory,left,92.9,91.4,0.0,0.0,True,False
100978,720575940630868793,CB0700,motor,right,92.1,22.9,10.0,0.0,False,False
41254,720575940619973712,CB0118,central,left,90.7,72.9,1.0,9.1,False,False
75279,720575940626191306,CB0445,central,left,90.0,88.6,0.0,9.1,False,False
29281,720575940617000768,LB3,sensory,left,89.3,97.1,0.0,13.6,True,False
92115,720575940629146711,LB1c,sensory,left,87.9,175.7,0.0,22.7,True,False
92298,720575940629176663,LB3,sensory,left,87.1,90.0,0.0,13.6,True,False
137208,720575940652580086,CB0020,central,left,87.1,81.4,1.0,4.5,False,False
8842,720575940610259370,"LB1a,LB1d",sensory,left,87.1,174.3,0.0,4.5,True,False
129625,720575940640589171,DNge031,descending,left,85.7,55.7,3.0,0.0,False,False
