condition,drive_hz,readout_hz,sd,n_active
alone,25.0,0.0,0.0,59
alone,50.0,12.666666666666666,4.189935029992179,303
alone,75.0,49.333333333333336,2.6246692913372702,391
alone,100.0,74.0,4.96655480858378,369
alone,150.0,94.33333333333333,4.109609335312651,384
+ NPFP1+NPFL1-I 100 Hz,25.0,0.0,0.0,65
+ NPFP1+NPFL1-I 100 Hz,50.0,12.0,3.7416573867739413,321
+ NPFP1+NPFL1-I 100 Hz,75.0,50.333333333333336,3.6817870057290873,389
+ NPFP1+NPFL1-I 100 Hz,100.0,69.66666666666667,2.494438257849294,388
+ NPFP1+NPFL1-I 100 Hz,150.0,97.66666666666667,4.714045207910316,424
+ re:^PAM 50 Hz,25.0,0.0,0.0,551
+ re:^PAM 50 Hz,50.0,13.666666666666666,3.681787005729087,787
+ re:^PAM 50 Hz,75.0,46.333333333333336,7.1336448530109,832
+ re:^PAM 50 Hz,100.0,74.66666666666667,6.18241233033047,870
+ re:^PAM 50 Hz,150.0,97.66666666666667,4.784233364802441,856
+ re:^PPL1 50 Hz,25.0,0.0,0.0,10514
+ re:^PPL1 50 Hz,50.0,2.3333333333333335,3.2998316455372216,10611
+ re:^PPL1 50 Hz,75.0,19.666666666666668,9.809292646374775,10619
+ re:^PPL1 50 Hz,100.0,22.0,2.943920288775949,10661
+ re:^PPL1 50 Hz,150.0,54.666666666666664,29.261275129806325,10649
