model_index,root_id,cell_type,super_class,side,hz_ORN_DM4+ORN_DM2,hz_ORN_DA2,hz_outside,hz_final_200ms,driven,is_readout
17837,720575940613583001,APL,central,right,424.3,434.3,326.2,436.4,False,False
66912,720575940624547622,APL,central,left,424.3,434.3,326.9,436.4,False,False
114034,720575940633938349,lLN1_bc,central,left,410.0,415.7,313.1,418.2,False,False
83829,720575940627690246,lLN2X03,central,left,410.0,417.1,311.9,418.2,False,False
48395,720575940621298270,lLN1_bc,central,left,410.0,415.7,313.1,418.2,False,False
119222,720575940635945919,v2LN30,central,left,410.0,417.1,312.5,418.2,False,False
22143,720575940614956072,v2LN30,central,right,410.0,417.1,311.9,413.6,False,False
103250,720575940631287912,lLN1_bc,central,left,410.0,417.1,311.9,418.2,False,False
97351,720575940630183286,lLN1_bc,central,left,410.0,417.1,311.9,413.6,False,False
99307,720575940630571052,lLN1_bc,central,left,410.0,417.1,311.9,413.6,False,False
31260,720575940617537570,lLN1_bc,central,left,410.0,417.1,311.9,413.6,False,False
2712,720575940606056905,lLN1_bc,central,left,410.0,415.7,313.1,418.2,False,False
35633,720575940618561403,lLN1_bc,central,left,410.0,417.1,311.9,418.2,False,False
61846,720575940623636701,il3LN6,central,right,410.0,415.7,310.6,413.6,False,False
101393,720575940630945335,lLN1_bc,central,left,410.0,415.7,313.1,418.2,False,False
57679,720575940622920074,lLN1_bc,central,left,410.0,417.1,311.9,413.6,False,False
129541,720575940640541091,lLN1_bc,central,right,408.6,417.1,312.5,418.2,False,False
130065,720575940640830453,lLN2X03,central,left,408.6,415.7,311.9,413.6,False,False
46609,720575940620975696,DPM,central,left,408.6,422.9,317.5,422.7,False,False
36451,720575940618757666,lLN2T_c,central,left,408.6,414.3,310.0,413.6,False,False
114279,720575940634034839,lLN1_bc,central,left,408.6,417.1,312.5,418.2,False,False
133439,720575940644704160,lLN2X03,central,left,408.6,415.7,311.9,413.6,False,False
107359,720575940632197930,lLN1_bc,central,left,408.6,417.1,312.5,418.2,False,False
130900,720575940641593051,lLN1_bc,central,left,408.6,415.7,311.2,413.6,False,False
112585,720575940633483807,lLN2T_e,central,left,407.1,412.9,310.6,413.6,False,False
